fdc_id,description,diet_guide_group
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Diary
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Diary
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Diary
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",Diary
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",Diary
330137,"Yogurt, Greek, plain, nonfat",Diary
2259794,"Yogurt, Greek, plain, whole milk",Diary
330415,"Yogurt, Greek, strawberry, nonfat",Diary
2647437,"Yogurt, plain, nonfat",Diary
2259793,"Yogurt, plain, whole milk",Diary
326698,"Mustard, prepared, yellow",
321505,"Salt, table, iodized",
746775,"Salt, table, iodized",
748278,"Oil, canola",Oil
330458,"Oil, coconut",Oil
748323,"Oil, corn",Oil
1750351,"Oil, olive, extra light",Oil
748608,"Oil, olive, extra virgin",Oil
1750348,"Oil, peanut",Oil
1750350,"Oil, safflower",Oil
748366,"Oil, soybean",Oil
1750349,"Oil, sunflower",Oil
2646170,"Chicken, breast, boneless, skinless, raw","Meats, Poultry, Eggs"
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised","Meats, Poultry, Eggs"
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised","Meats, Poultry, Eggs"
2514746,"Chicken, ground, with additives, raw","Meats, Poultry, Eggs"
2646171,"Chicken, thigh, boneless, skinless, raw","Meats, Poultry, Eggs"
330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles","Meats, Poultry, Eggs"
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles","Meats, Poultry, Eggs"
2514747,"Turkey, ground, 93% lean/ 7% fat, raw","Meats, Poultry, Eggs"
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",
324038,"Sauce, salsa, ready-to-serve",
746777,"Sauce, salsa, ready-to-serve",
323121,"Frankfurter, beef, unheated",
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)","Meats, Poultry, Eggs"
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared","Meats, Poultry, Eggs"
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared","Meats, Poultry, Eggs"
325658,"Sausage, Italian, pork, mild, cooked, pan-fried","Meats, Poultry, Eggs"
746780,"Sausage, Italian, pork, mild, cooked, pan-fried","Meats, Poultry, Eggs"
332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried","Meats, Poultry, Eggs"
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried","Meats, Poultry, Eggs"
325992,"Sausage, turkey, breakfast links, mild, raw","Meats, Poultry, Eggs"
746783,"Sausage, turkey, breakfast links, mild, raw","Meats, Poultry, Eggs"
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",Fruits
1105897,"Apples, fuji, with skin, raw",Fruits
1750340,"Apples, fuji, with skin, raw",Fruits
1105781,"Apples, gala, with skin, raw",Fruits
1750341,"Apples, gala, with skin, raw",Fruits
1105664,"Apples, granny smith, with skin, raw",Fruits
1750342,"Apples, granny smith, with skin, raw",Fruits
1105547,"Apples, honeycrisp, with skin, raw",Fruits
1750343,"Apples, honeycrisp, with skin, raw",Fruits
1105430,"Apples, red delicious, with skin, raw",Fruits
1750339,"Apples, red delicious, with skin, raw",Fruits
2263892,"Applesauce, unsweetened, with added vitamin C",Fruits
2346414,"Applesauce, unsweetened, with added vitamin C",Fruits
2710815,"Apricot, with skin, raw",Fruits
2710824,"Avocado, Hass, peeled, raw",Fruits
790774,"Bananas, overripe, raw",Fruits
1105073,"Bananas, overripe, raw",Fruits
790991,"Bananas, ripe and slightly ripe, raw",Fruits
1105314,"Bananas, ripe and slightly ripe, raw",Fruits
2263889,"Blueberries, raw",Fruits
2346411,"Blueberries, raw",Fruits
2346399,"Cherries, sweet, dark red, raw",Fruits
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",Fruits
326905,"Figs, dried, uncooked",Fruits
746768,"Figs, dried, uncooked",Fruits
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",Fruits
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",Fruits
2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",Fruits
325287,"Grapefruit juice, white, canned or bottled, unsweetened",Fruits
2263891,"Grapes, green, seedless, raw",Fruits
2346413,"Grapes, green, seedless, raw",Fruits
2263890,"Grapes, red, seedless, raw",Fruits
2346412,"Grapes, red, seedless, raw",Fruits
2710831,"Kiwifruit (kiwi), green, peeled, raw",Fruits
327046,"Kiwifruit, green, raw",Fruits
2710832,"Mandarin, seedless, peeled, raw",Fruits
2710834,"Mango, Ataulfo, peeled, raw",Fruits
2710833,"Mango, Tommy Atkins, peeled, raw",Fruits
327198,"Melons, cantaloupe, raw",Fruits
746770,"Melons, cantaloupe, raw",Fruits
2710816,"Melons, honeydew, raw",Fruits
327357,"Nectarines, raw",Fruits
332791,"Olives, green, Manzanilla, stuffed with pimiento",Fruits
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",Fruits
2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",Fruits
746771,"Oranges, raw, navels",Fruits
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",Fruits
325430,"Peaches, yellow, raw",Fruits
2710836,"Pear, Anjou, green, with skin, raw",Fruits
746773,"Pears, raw, bartlett",Fruits
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",Fruits
2346398,"Pineapple, raw",Fruits
2710843,"Plantains, overripe, raw",Fruits
2710817,"Plantains, ripe, raw",Fruits
2710818,"Plantains, underripe, raw",Fruits
2710837,"Plum, black, with skin, raw",Fruits
2263888,"Raspberries, raw",Fruits
2346410,"Raspberries, raw",Fruits
327699,"Strawberries, raw",Fruits
747448,"Strawberries, raw",Fruits
2263887,"Strawberries, raw",Fruits
2346409,"Strawberries, raw",Fruits
746952,"Ham, sliced, restaurant","Meats, Poultry, Eggs"
749420,"Pork, cured, bacon, cooked, restaurant","Meats, Poultry, Eggs"
2514745,"Pork, ground, raw","Meats, Poultry, Eggs"
2646168,"Pork, loin, boneless, raw","Meats, Poultry, Eggs"
2646169,"Pork, loin, tenderloin, boneless, raw","Meats, Poultry, Eggs"
2710822,"Arugula, baby, raw",Dark-Green Vegetables
2710823,"Asparagus, green, raw",Other Vegetables
321611,"Beans, snap, green, canned, regular pack, drained solids",Other Vegetables
